id;label
25;Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan/Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Wohnhaus, Bauaufnahme, Querschnitt und Längsschnitt
26;Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan/Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Scheune und Stall, Bauaufnahme, Längsschnitt und Grundriss
27;Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan/Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Scheune und Stall, Bauaufnahme, Aufrisse und Querschnitt
28;Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahmen, Grundrisse, Querschnitte, Längsschnitte, Aufrisse und Lageplan/Mengsberg, Oberförsterei auf der ehemaligen Hofraite von Schwertzell, Bauaufnahme, Lageplan
29;Der Architekt Gion A. Caminada in Vrin
30;Haustür
31;Niederhessische Tracht
32;Kassel, Artilleriekaserne, Bauaufnahme, Grundriss des zweiten Geschosses
33;Waldeck, Domäne, Wohnhaus, Umbauentwurf, Aufriss und Grundriss
34;Kassel, Opernhaus (Altes Hoftheater) im ehemaligen Palais des Landgrafen Maximilian, Entwurf, Schnitt
35;Uferkirche
36;Marburg, Universitäts-Frauenklinik, Erweiterungsbau - Dachgeschoss, Entwurf, Grundriss
37;Aus Merzhausen
38;Kaffeemaschine
39;Bildnis Margaretha Falck, Frau des Marburger Goldschmieds August Falck
40;Marburg, Hirschberg Nummer 14, Wohnhaus (Textor, Lageplan, Riss und Schnitt)
41;Am Golf von Neapel
42;Türbeschlag
43;Hanau?, unbekanntes Wirtschaftsgebäudes, Bestandsaufnahme, Querschnitt, Grundriss und Teilaufriss
44;Servierplatte
45;Mainz, Festung (Kastel), Bestandsaufnahme, Grundrisse, Schnitte und Lageplan, Kopie nach Sontheim
46;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte
47;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte/Merxhausen (Emstal), Landeshospital, Lazarett, Entwurf, Aufriss und Längsschnitt
48;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte/Merxhausen (Emstal), Landeshospital, Lazarett, Entwurf, Grundrisse
49;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte/Merxhausen (Emstal), Landeshospital, Lazarett, Entwurf, Aufriss
50;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte/Merxhausen (Emstal), Landeshospital, Lazarett, Entwurf, Querschnitte, Aufriss und Längsschnitt
51;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte/Merxhausen (Emstal), Landeshospital, Lazarett, Ausführungsentwurf, Grundrisse
52;Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte Merxhausen (Emstal), Landeshospital, Lazarett, Entwürfe, Aufrisse, Grundrisse, Querschnitte und Längsschnitte/Merxhausen (Emstal), Landeshospital, Lazarett, Entwurf, Aufriss und Querschnitt
53;Stadtansicht von Marburg
54;Entwurf für ein öffentliches Gebäude, Akademische Studie, Schnitt und Grundriss
55;Moschee
56;Haube (Kopfbedeckung)
57;Marjoß, Domäne Marjoß -Schafscheuer, Entwurf, Aufrisse, Querschnitt und Grundriss
58;Kassel, Opernhaus (Altes Hoftheater), Bestandsaufnahme und Entwurf, Aufriss, Schnitt und Situationsplan
59;Kassel, Artilleriekaserne, Bauaufnahme, Grundriss des ersten Geschosses
60;Marburg, Bibliotheksgebäude, Entwurf, Aufriss, Teilquerschnitt und Grundriss
61;Fulda, Gartenanlage zwischen Residenzschloss und Orangerie, Bestandsaufnahme, Lageplan
62;Plan der Stadt Marburg, mit den projectierten neuen Stadttheilen.
63;Leuchter
64;Waldeck, Domäne, Arbeiter-Wohnhaus, Entwurf, Grundrisse und Schnitte
65;Einfahrt
66;Marburg, Hirschberg Nummer 14: Längsseiten-Ansicht an der Mistgasse
67;Deutschhausbrücke
68;Braunschweig, östliche Stadtbefestigung mit Entwurf für eine Zitadelle, Lageplan
69;Deckeldose mit dem Wappen der Philipps-Universität Marburg zur 475-Jahrfeier der Universität
70;Wochenschüssel
71;Dreifuß
72;Hanau?, unbekanntes Wohngebäude, Bestandsaufnahme, Grundriss
73;Bad Hersfeld, Domäne Bingartes, Schafstall, Entwurf?, Aufriss und Grundriss
74;Mainz, Festung (Fort Montebello), Bestandsaufnahme, Lageplan und Schnitt, Kopie nach Sontheim
75;Die Lokomotive
76;Evangelische Marburger Männertracht
77;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte
78;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Fensterpilaster Dachgeschoss, Entwurf, Aufrisse und Querschnitt
79;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Gastwirtschaft, Brüstungspfeiler, Ausführungsentwurf, Aufriss
80;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Gastwirtschaft, Hauptgesims, Ausführungsentwurf, Aufriss
81;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Innenarchitektur Gastwirtschaft, Ausführungsentwurf, Aufriss
82;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Gesims Gastwirtschaft, Entwurf, Grundriss und Aufriss
83;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Gesims Gastwirtschaft, Ausführungsentwurf, Aufriss
84;Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte Merxhausen (Emstal), Landeshospital, Innenarchitektur, Entwürfe, Aufrisse, Grundrisse und Querschnitte/Merxhausen (Emstal), Landeshospital, Innenarchitektur Gastwirtschaft, Ausführungsentwürfe, Aufriss
85;Dorfteich
86;Giebelaufsatz
87;Kassel, Artilleriekaserne, Bauaufnahme, Grundriss des Erdgeschosses
88;Lauenhain (Kreis Hainichen), Fanfarenzug der FDJ während eines internationalen Zeltlagers
89;Kassel, Opernhaus (Altes Hoftheater), Entwurf zum Kulissenhaus, Aufriss und Schnitt
90;Tür mit Oberlicht, Akademieentwurf, Prüfungsaufgabe, Aufrisse, Querschnitt und Grundriss
91;Hiob
92;Marburg, Stadtplan der Altstadt (Oberstadt)
93;Waldeck, Domäne, Wohnhaus, Umbauentwurf, Grundrisse
94;Marburg, Hirschberg Nummer 14, Wohnhaus Textor
95;Alte Ziegelei
96;Hanau?, unbekanntes Gebäude, Umbauentwurf?, Grundriss
97;Einhenklige Deckeldose
98;Kaffeekanne
99;Krug
100;Entwurf zu einer befestigten Idealstadt an einem Fluß, Lageplan, Studie
101;Bad Hersfeld, Domäne Bingartes, Scheune, Entwurf?, Aufriss und Grundrisse
102;Mainz, Festung (Reduit des Fort Montebello), Bestandsaufnahme, Grundriss und Schnitt, Kopie nach Sontheim
103;Kassel, Königsstraße, Residenzpalais, Palais Reichenbach und Palais Hessen-Rotenburg mit Nebengebäuden, Bestandsaufnahme, Lageplan
104;Merxhausen (Emstal), Landeshospital, Gastwirtschaft Abortsanlage, Entwürfe, Grundrisse
105;Merxhausen (Emstal), Landeshospital, Gastwirtschaft Abortsanlage, Entwürfe, Grundrisse Merxhausen (Emstal), Landeshospital, Gastwirtschaft Abortsanlage, Entwürfe, Grundrisse/Merxhausen (Emstal), Landeshospital, Gastwirtschaft Abortsanlage, Entwurf, Grundrisse
106;Merxhausen (Emstal), Landeshospital, Gastwirtschaft Abortsanlage, Entwürfe, Grundrisse Merxhausen (Emstal), Landeshospital, Gastwirtschaft Abortsanlage, Entwürfe, Grundrisse/Merxhausen (Emstal), Landeshospital, Gastwirtschaft, Abortsanlage, Entwurf, Grundriss
107;Weg am Kanal
108;Drehbare Röste
109;Tür
110;Regionaler Raumordnungsplan von Mittelhessen
111;Kissen
112;Ansicht der Stadt Marburg von Südwesten
113;Bildnis Karl Friedrich Hermann
114;In der Ausstellung
115;Pfaffenhausen (Borken), Domäne Marienrode - Entwässerungsanlage, Entwurf, Lageplan
116;Geschäftshaus
117;Hanau, Stadtschloss, Reithalle im Marstall, Umbauentwurf, Querschnitt, Aufriss, Grundriss
118;Kassel?, unbekanntes Gebäude, Entwurf?, Aufrisse
119;Stadtplan von Marburg
120;Stadtplan Marburgs bei der Belagerung im Siebenjährigen Krieg 1759
121;Platte mit Pfauenmotiv
122;Barbara (Bildnis der jüngsten Tochter)
123;Pfaffenhausen (Borken), Domäne Marienrode - Pferdestall, Entwurf, Lageplan
124;Büste des Professors Karl Friedrich Hermann
125;Feld bei Niederwalgern
126;Herbergsschild der Wagner, Schmiede und Schlosser, Universitätsmuseum Marburg
127;Hanau, Entwurf zum Mengerschen Wohnhaus am Nürnberger Tor, Aufriss, Grundrisse
128;Wohn- und Geschäftshaus
129;Vintage print
130;Vatikan, Vatikanischer Palast, Sala Ducale, Sänftenträger des Papstes
131;Laokoon warnt vor dem hölzernen Pferd
132;Ansicht Marburgs von Nordosten
133;Büste der Luise Gräfin Bose
134;Mainz, Festung (Inundationsschanze), Bestandsaufnahme, Grundrisse und Schnitte, Kopie nach Sontheim
135;Landschaft mit Feldwegen und Fuhrwerk
136;"Herbergsschild der Schneider und Weber; Orb, Kreis Gelnhausen"
137;Porträtmedaillon
138;Entwurf für ein öffentliches Gebäude, Akademische Prüfungsaufgabe, Grundrisse
139;Frauenoberhemd (Kimmetchen)
140;Entwurf für ein Wohnhaus, Akademische Studie, Aufrisse und Grundrisse
141;Kassel, Entwurf zu einem Eingangstor zwischen Hohentor- und Leibgarde-Kaserne, Aufriss und Grundriss
142;Frauengruppe in der Umayyadenmoschee
143;Lauenhain (Kreis Hainichen), Querseilfähre über die Kriebsteintalsperre
144;Platte mit chinesischem Gartenmotiv
145;Brustbild des Kurfürsten Wilhelm II. von Hessen
146;Primel und Stiefmütterchen
147;"Herbergsschild der Gesellen; Romrod Kreis Alsfeld"
148;Mainz, Festung (Rheinschanzen), Bestandsaufnahme, Lageplan, Kopie nach Sontheim
149;Bildnis Emil von Behring
150;Abendmahlshaube
151;Entwurf zu einer Schule, Akademische Studie, Aufriss, Schnitt, Grundriss und Situationsplan
152;Stölzingen, Domäne, Stallungen, Bauaufnahme?, Aufriss und Grundrisse
153;Stadtplanentwurf für Ockershausen
154;Merxhausen (Emstal), Landeshospital, Hauptgebäude, Fassade, Entwürfe, Aufrisse und Grundrisse
155;Merxhausen (Emstal), Landeshospital, Hauptgebäude, Fassade, Entwürfe, Aufrisse und Grundrisse Merxhausen (Emstal), Landeshospital, Hauptgebäude, Fassade, Entwürfe, Aufrisse und Grundrisse/Merxhausen (Emstal), Landeshospital, Hauptgebäude, Fenster, Entwurf, Aufriss, beschnitten
156;Merxhausen (Emstal), Landeshospital, Hauptgebäude, Fassade, Entwürfe, Aufrisse und Grundrisse Merxhausen (Emstal), Landeshospital, Hauptgebäude, Fassade, Entwürfe, Aufrisse und Grundrisse/Merxhausen (Emstal), Landeshospital, Hauptgebäude, Turm, Entwurf, Aufriss und Grundrisse, beschnitten
157;Blick in das Berauntal mit dem Fluss Beraun (Berounka)
158;Britische Mandatspolizei vor dem Davidsturm
159;Fuhrleute
160;Verschiedene Schmuckstücke
161;Bamberger Reiter hinter einem Pfeiler
162;Umgebung von Brig
163;Bauernhof
164;Kassel, Karlsaue, Holländischer Garten, Entwurf zu einem Broderieparterre im Garten neben dem Wirtschaftshof, Lageplan
165;Marburg, Entwürfe zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundrisse und Querschnitt
166;Marburg, Entwürfe zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundrisse und Querschnitt Marburg, Entwürfe zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundrisse und Querschnitt/Marburg, Entwurf zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundriss und Querschnitt
167;Marburg, Entwürfe zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundrisse und Querschnitt Marburg, Entwürfe zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundrisse und Querschnitt/Marburg, Entwurf zur Erweiterung des Operationsgebäudes der Chirurgische Klinik der Universität, Grundriss
168;Stölzingen, Domäne, Gebäudekataster, Schriftstück
169;Stadtplan von Marburg mit den zu schützenden Bauten und Einrichtungen
170;Kugelherren-Kloster
171;Kugelherren-Kloster Kugelherren-Kloster/Fraterhaus & Kugelhaus
172;Kugelherren-Kloster Kugelherren-Kloster/Klosterkirche Sankt Johannes Evangelist
173;Kugelherren-Kloster Kugelherren-Kloster/Klosterkirche Sankt Johannes Evangelist Kugelherren-Kloster/Klosterkirche Sankt Johannes Evangelist/Sakristei
174;Schmiedeeiserne Geräte
175;NO_LABEL
176;Bauernhaus
177;Straßburg, Plan der Stadt mit der Zitadelle und den Befestigungsanlagen, Bestandsaufnahme, Lageplan
178;Leuchter im Bamberger Dom
179;Marburg, Chirurgische Klinik, Linker Flügel, Entwürfe, Grundrisse
180;Marburg, Chirurgische Klinik, Linker Flügel, Entwürfe, Grundrisse Marburg, Chirurgische Klinik, Linker Flügel, Entwürfe, Grundrisse/Marburg, Chirurgische Klinik, Linker Flügel, Erdgeschoss und Untergeschoss, Entwurf, Grundrisse
181;Marburg, Chirurgische Klinik, Linker Flügel, Entwürfe, Grundrisse Marburg, Chirurgische Klinik, Linker Flügel, Entwürfe, Grundrisse/Marburg, Chirurgische Klinik, Linker Flügel, Dachgeschoss und Obergeschoss, Entwurf, Grundrisse
182;HotelGasthaus
183;Stölzingen, Domäne, Wirtschaftsgebäude, Entwurf, Aufriss, Schnitte, Grundrisse und Situationsplan
184;Kaiser-Wilhelm-Turm
185;Waldeck, Domäne, Speichergebäude, Umbauentwurf, Aufrisse, Schnitt und Grundriss
186;Brusttuch
187;Blick auf den Tiber bei Rom
188;Büste des Johann Wolfgang von Goethe
189;Kairo, Mekkapilger
190;Markttreiben nahe einer unbekannten Moschee
191;Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse
192;Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse/Marburg, Deutschordenshospital, Medizinische Klinik, Fassade, Entwurf, Aufriss
193;Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse/Marburg, Deutschordenshospital, Medizinische Klinik, Erste und zweite Etage, Bestandsaufnahme, Grundrisse
194;Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse/Marburg, Deutschordenshospital, Medizinische Klinik, erste und zweite Etage, Bauaufnahme und Umbauentwurf, Grundrisse
195;Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse Marburg, Deutschordenshospitel, Medizinische Klinik, Entwürfe zum Landkrankenhauses, Aufriss, Grundrisse/Marburg, Deutschordenshospital, Medizinische Klinik, Entwurf zur dritten Etage und dem Dachgeschoss, Grundrisse
196;Versteinerung
197;Wabern, Jagdschloss, Lustgarten, Entwurf zum Parterre, Lagaplan
198;Betende an der Klagemauer
199;TreppeGasse
200;Freud- und Leidtuch
201;Stölzingen, Domäne, Tagelöhnerhaus, Bauaufnahme?, Aufriss und Grundriss
202;Langer Anton - Porträt des Anton de Franckenpoint
203;Waldeck, Domäne, Scheune, Entwurf?, Aufrisse und Grundriss
204;Straße
205;Wirtshaus an der Lahn
206;Unbekannter Ort, einschiffige Kirche, Bestandsaufnahme?, Grundriss und Lageplan
207;Marburg, Skizzen des Gymnasium Philippinum - Versetzung der Turnhalle, Querschnitte, Längsschnitte und Aufrisse
208;Marburg, Skizzen des Gymnasium Philippinum - Versetzung der Turnhalle, Querschnitte, Längsschnitte und Aufrisse Marburg, Skizzen des Gymnasium Philippinum - Versetzung der Turnhalle, Querschnitte, Längsschnitte und Aufrisse/Marburg, Skizze Gymnasium Philippinum - Versetzung der Turnhalle, Querschnitt und Aufriss
209;Begrüßung?
210;Straßenszene nahe einer unbekannten Moschee
211;Hofgeismar?, Wohnhaus mit Scheune und Stallung, Entwurf, Aufrisse und Grundrisse
212;"Kassel, Karlsaue, Umgestaltungsentwurf für die westliche ""Konche"" am Küchengraben, Grundriss"
213;Bildnis des Dichters Christian Fürchtegott Gellert
214;Stolzhausen, Wohn- und Backhaus, Entwurf, Aufrisse, Schnitte, Grundrisse und Situationsplan
215;Waldeck, Domäne, Schmiede, Umbauentwurf, Aufrisse, Schnitte und Grundrisse
216;Markttreiben nahe der El-Ashar-Universität
217;Eifelgehöft im Gewiittersturm
218;Gehöft in Zilsdorf
219;Zinnfigur eines österreichischen Feldmarschalls
220;Mainz, Festung (Turmfort Petersaue), Bestandsaufnahme, Lageplan und Schnitt, Kopie nach Sontheim
221;Merxhausen (Emstal), Landeshospital, Arztwohnung?, Entwurf, Grundriss
222;Rostock, Jahrmarkt, Karussell
223;Waldeck, Domäne, Schafstall, Umbauentwurf, Aufrisse, Schnitt und Grundrisse
224;Stölzingen, Domäne, Wohn- und Wirtschaftsgebäude, Umbauentwurf, Aufriss und Grundriss
225;Büste des Johann Kaspar Lavater
226;Zinnfigur Friedrichs des Großen zu Pferde
227;Steinbruch bei Mayen
228;Ortsumgebung mit Felsplateau
229;Marburg, Deutschherrenkomturei, Geologisches Institut, Bestandszeichnung und Umbauentwürfe
230;Marburg, Deutschherrenkomturei, Geologisches Institut, Bestandszeichnung und Umbauentwürfe Marburg, Deutschherrenkomturei, Geologisches Institut, Bestandszeichnung und Umbauentwürfe/Marburg, Deutschherrenkomturei, Geologisches Institut, Bestandszeichnung und Umbauentwurf, Aufriss und Lageplan
231;Marburg, Deutschherrenkomturei, Geologisches Institut, Bestandszeichnung und Umbauentwürfe Marburg, Deutschherrenkomturei, Geologisches Institut, Bestandszeichnung und Umbauentwürfe/Marburg, Deutschherrenkomturei, Geologisches Insitut, Erdgeschoss und erstes Geschosss, Bestandszeichnung und Umbauentwurf,Grundriss
232;Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte
233;Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte/Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwurf, hintere Fassade Aufriss
234;Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte/Merxhausen (Emstal), Landeshospital, Entwurf für die Psychiatrie, Fassade, Aufriss
235;Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte/Merxhausen (Emstal), Landeshospital, Psychiatrie, Erdgeschoss und erstes Geschoss, Entwurf, Grundrisse
236;Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte/Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwurf, Aufriss, Querschnitte und Längsschnitt
237;Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte Merxhausen (Emstal), Landeshospital, Psychiatrie, Entwürfe, Aufrisse, Querschnitte, Grundrisse und Längschnitte/Merxhausen (Emstal), Landeshospital, Psychiatrie, zweites Geschoss und Dachgeschoss, Entwurf, Grundrisse
238;Waldeck, Domäne, Wohnhaus, Umbauentwurf, Schnitte
239;Projekt Kunst am Bau für das Studentenzentrum der Philipps-Universität Marburg auf den Lahnbergen
240;Karl Dachs und Lenz Kriss-Rettenbeck im Gespräch auf einer Veranstaltung des Zentralinstituts in München, im Hintergrund wohl Reinhard Müller-Mehlis
241;Schiffsentladung
242;unbekannter Ort, Entwurf für Wachthaus? , Grundriss
243;Marburg, Entwürfe zum Fußboden-Unterbau im Sammlungssaal im Mineralogischen Institut, Grundrisse und Querschnitte
